Company Name,Location,Description,Website,Reason for Failure
10 Minutes With,"London, England, United Kingdom","10 Minutes With is an innovative global career matchmaking platform built for graduates with offices in London, Beijing and Singapore",10minuteswith.com,
1000memories,"San Francisco, California, United States","1000Memories allows people to organize, share, and discover old photos and memories and set up family trees.",1000memories.com,
100Plus,"San Francisco, California, United States",100Plus is a personalized health prediction company using data analytics and game mechanics for healthy living of individuals.,www.100plus.com,
3X Systems,"Columbus, Ohio, United States",3X systems is an online backup provider in an appliance that can be purchased and deployed by an end user or IT Provider.,www.3x.com,
99dresses,"Sydney, New South Wales, Australia",99dresses is a virtual closet that allows users to trade fashion items with other users.,99dresses.com,"99dresses was established by the 18-year-old Nikki who had no clue about the tech business. It successfully operated for one year after which it started encountering great money and technical related difficulties which prompted the shutting down of the app in 2014.

The key issue was that the organization did not raise enough income to maintain its tasks as the organization's plan of action depended on the exchange cost. Steadily, their exchanges diminished in cost and 99dresses' income endured a shot. Their plan to scale up to include handbags and different adornments, failed to gain traction and the number of exchanges in the platform dropped.

Difficulties in implementing innovation and absence of management experience likewise added to conveying deals to a stop and caused a drying up in funding sources. The startup also experienced Visa issues that obstructed smooth activities between the United States and Australia. With these series of events, the company’s group of prime supporters gradually gave up on the platform and the startup had to close down.

Read more on:
https://medium.com/female-founders/my-startup-failed-and-this-is-what-it-feels-like-c5d64b3ae96b
https://foundr.com/nikki-durkin-99dresses/
https://www.afr.com/leadership/entrepreneur/the-most-excruciating-pain-any-founder-could-experiencenikki-durkin-on-the-failure-of-99dresses-20140625-jyp6k
https://www.crunchbase.com/organization/99dresses"
A2Zlogix,"Edison, New Jersey, United States","A2Zlogix is a privately held company based in Edison, New Jersey that has an extensive solutions portfolio",a2zlogix.com,
AbbeyPost,"San Mateo, California, United States",Software-driven custom apparel that fits every woman's shape and size.,abbeypost.com,
Abound Solar,"Loveland, Colorado, United States",Abound Solar manufactures thin-film cadmium telluride solar modules for large commercial and utility-scale installations.,www.abound.com,
Acadine Technologies,"Hong Kong, Hong Kong Island, Hong Kong","Acadine Technologies is a software company specializing in innovative mobile operating systems for mobile, wearable, and IoT devices.",www.acadine.com,
Access Integrated Healthcare,"Glendale, California, United States",Access Integrated Healthcareis a Los Angeles-based healthcare services company .,www.accessih.com,
Accordion Health,"Austin, Texas, United States",Accordion Health builds innovative data-driven platforms for value-based care.,accordionhealth.com,
Açúcar Guarani,"Olímpia, Sao Paulo, Brazil","Açucar Guarani cultivates, produces, and sells sugar, ethanol, and other sugarcane by-products primarily in Brazil and Mozambique.",guaranimaisqueacucar.com.br/,
ADAB Solutions,"Umm Al Qawain, Umm Al Quwain, United Arab Emirates",We align the crypto assets with the moral and cultural values of Islam by creating a cryptocurrency platform for Muslims and the world,adabsolutions.com/,
Addapp,"San Francisco, California, United States",Addapp is a mobile application that translates its users’ health apps and activity tracker data into actionable recommendations.,addapp.io/,
Adored,"Manchester, New Hampshire, United States","Increase lifetime value with the Adored loyalty experience. Bring guests back more often, encourage them to spend more & introduce friends.",www.adored.com/,
Advanced Electron Beams,"Wilmington, Massachusetts, United States",AEB develops compact electron beam emitters replacing thermal and chemical processes for manufacturing.,www.aeb.com,
Aereo,"New York, New York, United States",Aereo is a technology company that lets subscribers view live TV through a tiny remote antenna that can be controlled over the internet.,aereo.com/home,
AgLocal,"Mission, Kansas, United States",AgLocal is an e-commerce platform for buying and selling meats of animals that are free of antibiotics or added hormones.,www.aglocal.com,
Airware,"San Francisco, California, United States",Airware is the world’s #1 enterprise drone analytics company.,www.airware.com,
Airy Labs,"Palo Alto, California, United States",Airy Labs is a technology company that develops mobile social learning games for children.,www.airylabs.com,
Aisle50,"Chicago, Illinois, United States","Aisle50 delivers grocery offers redeemed at traditional grocery stores to consumers through the web, mobile and social media.",www.aisle50.com,
ALAMAB THERAPEUTICS,"Princeton, New Jersey, United States",A Biotechnology Company.,—,
ALE,"Tokyo, Tokyo, Japan",ALE is an outer space entertainment company creating artificial shooting stars and meteor showers on demand,global.star-ale.com/,
AlephCloud Systems,"Sunnyvale, California, United States",Encryption and Security,www.alephcloud.com,
Algal Scientific (Acquired by Kemin Industries),"Plymouth, Michigan, United States","Algal Scientific has two distinct business units that serve the animal feed, human nutrition, and wastewater treatment industries.",www.algalscientific.com,
Allied Payment Network,"Fort Wayne, Indiana, United States","Allied Payment Network offers online bill payment services for financial institutions including banks, credit unions, and direct customers.",www.alliedpaymentnetwork.com,
Allmyapps,"Paris, Ile-de-France, France","Allmyapps is the 1st App Store for Windows. We make it easy for PC users to discover, install and update their PC software.",allmyapps.com,
Allvoices,"San Francisco, California, United States","Allvoices is a community-driven tech platform that collects, validates and distributes user-generated news from around the world.",www.allvoices.com,
AlphaDraft,"New York, New York, United States",AlphaDraft give eSports fans the chance to play fantasy leagues and place bets on big eSports events.,alphadraft.com,
Alta Motors,"Brisbane, California, United States",Alta Motors designs and manufactures electric vehicle technology.,www.altamotors.co,
Alta Wind Energy Center,"Mojave, California, United States",Alta Wind Energy Center is a wind energy project in California.,altawindenergycenter.com,
Altura Medical,"Menlo Park, California, United States",Altura Medical is an emerging medical device company developing a next generation endograft technology to treat abdominal aortic aneurysms.,www.alturamed.com/,
American Efficient,"Durham, North Carolina, United States",American Efficient (AE) is a venture backed customer acquisition platform for products and services that are good for the world.,www.americanefficient.com,
Amiato,"Palo Alto, California, United States",Amiato provides real-time analytics services to enable companies to make sense of data by unlocking silos and future-proofing.,www.amiato.com,
Amulyte,"Mountain View, California, United States",Amulyte is an activity tracking and emergency response system that allows seniors to maintain their freedom and independence.,www.amulyte.com,
Analyte Health,"Chicago, Illinois, United States",Digital healthcare technology startup providing disruptive innovation to consumer healthcare via Analyte’s diagnostic triage platform.,www.analytehealth.com,
Angle,"Eugene, Oregon, United States","Angle, a creative technology company, provides ways to access content by using voice recognition to navigate through the web.",www.anglellc.com,
Anki,"San Francisco, California, United States",Anki is an entertainment robotics company dedicated to bringing artificial intelligence and robotics to people's everyday lives.,anki.com,"Anki barely lasted for a decade and completely ceased operations by the end of April 2019. This is not something you would expect from a company that is a brainchild of Carnegie Mellon graduates, and a company that raised close to $200 million in VC funding. The products that Anki produced were also performing really well in the market and at a competitive price tag of under $300, they seemed to do what their competitors in this industry could not. In fact, according to many sources (like Amazon US), Cozmo was the best selling toy of 2017. So what took this promising startup eventually to the grave?

A failed round of financing was reportedly to blame. CEO Boris Sofman told employees that a deal had failed to materialize “at the last minute”, as it also happened with acquisition interests from companies such as Microsoft, Amazon, and Comcast.

An article published by The Robot Report provides some more information about Anki’s case. According to it, Silicon Valley Bank had a security interest in Anki’s copyrights, patents, and trademarks since March 30, 2018. To receive a loan from SVB, Anki had to put up its intellectual property as collateral. If Anki failed to repay the loan, SVB had the right to seize the collateral to make up for the money it lost in the loan. The report also stated that Fisher & Richardson, a global IP law firm, filed a lien against Anki on June 3, 2019, because it “has not been compensated for patent and trademark prosecution services that it provided for Anki”.

However, can these financial debacles be the sole reason, or is there something inherent within the robotics industry that is to blame? 

A quick look at the failure of other robotics companies within the last year paints a very clear picture. There needs to be a rethink as to the functionality and not just the novelty factor (which tends to fade out very quickly) when thinking of designing the next successful home robot. It is like what Roomba and Alexa have done within the past decade (specialized and functional robots that actually do the job they are meant for).    

A major failure, for example, was Jibo, founded in 2012 by famed MIT roboticist Cynthia Breazeal (a pioneer researcher in human-robot interaction). Jibo went on to successfully raise over $3.5 million when its Indiegogo campaign ended in 2014. They raised a further $73 million in VC funding and Jibo was touted as the first social robot for the home that would actually dance around for you! Another similar failure was the shutdown of Mayfield Robotics. They had released their famed Kuri robot that was touted as being a roaming security camera with a personality. Both robots came with a high price tag and their novelty wore off among users very soon, leading to their shutdowns in late 2018. 

The epic failure of Cozmo and Vector proved the fact even further that despite a successful product line and competitive price tags if products (no matter how well designed) do not prove their value in the consumer market, they will not lead to a sustainable business model for the companies investing in them."
ANTs Software,"Dunwoody, Georgia, United States",ANTs Software develops high-performance data management architectural products and solutions.,www.ants.com,
Anulex Technologies,"Minnetonka, Minnesota, United States",Anulex Technologies develops technologies and surgical techniques to improve the treatment of herniated discs.,www.anulex.com,
Apnex Medical,"Saint Paul, Minnesota, United States",Apnex Medical manufactures and markets active implantable medical devices for the treatment of obstructive sleep apnea.,www.apnexmedical.com,
App.io,"San Francisco, California, United States",App.io streams your mobile apps from the cloud to any device.,app.io,
App.net,"San Francisco, California, United States",App.net offers a distribution and monetization platform for mobile application developers.,app.net,
Appcore,"Des Moines, Iowa, United States",Appcore is a leading CloudStack solutions company focused on simplifying the complexity of cloud management.,www.appcore.com,
AppGratis,"Paris, Ile-de-France, France",AppGratis was an app-discovery application that enabled users to download apps for free or at a reduced price.,bye.appgratis.com/,
Appsdaily Solutions,"Mumbai, Maharashtra, India","AppsDaily Solutions develops mobile applications for Android, Blackberry, Symbian, and Java phones.",appsdailyworld.com/daily/index.jsp,
appssavvy,"New York, New York, United States",Appssavvy is a technology company that enables publishers to create activity advertisements.,www.appssavvy.com,
AppThis,"Denver, Colorado, United States",AppThis is an international mobile ad tech company focused on the global app ecosystem.,www.appthis.com,
Apropose,"Mountain View, California, United States","Apropose develops software solutions for web design problems in consumer, small business, and enterprise applications.",www.apropose.com,
Aptera,"Carlsbad, California, United States","Aptera Motors is engaged in designing, engineering, and assembling passenger cars in the United States.",www.aptera.com,
Argyle Social,"Durham, North Carolina, United States","Argyle Social provided a social media management tools focused around powerful social tools for B2B marketers. Argyle shutdown in May, 2014.",argylesocial.com,"Adam Covati, the former CEO and founder of Argyle Social, tried to stand out from their competitors by allowing their software to be integrated into various social media marketing automation software including Pardot and Marketo. This additional design Argyle Social has is really useful for marketers, but still, the bulk and massive marketing efforts of their competitors, unfortunately, drowned out that value.

The funds were never enough to keep the software in the market, not to mention that the company still had to pay its employees.

Leading social media platforms such as Facebook and Twitter change their APIs every time, for the Argyle Social to work, Covati and his team needed to keep up with those changes as well, and that was a huge struggle for them. They had talent and skill but lacked the appropriate number of employees needed to accomplish such task. The company’s lack of employees came about from their first issue, which is not having enough funds. Without the appropriate funds, it was impossible for Argyle to keep their services in the market. Adam Covati said that he tried numerous times to find a willing business partner to keep the company alive, but no company or individual ever found Argyle to be “profit wise”.

Read more on:
https://venturebeat.com/2014/04/16/argyle-social-is-no-longer-in-fashion-startup-shuts-down-exclusive/
https://www.wraltechwire.com/2014/04/21/when-startups-fail-argyle-social-shutdown-a-sign-of-the-times-14421/
https://www.crunchbase.com/organization/argyle"
Aria Insights,"Danvers, Massachusetts, United States",Aria Insights develops unmanned air vehicles for search and rescue missions and bridge inspections.,www.cyphyworks.com,"There are various reasons why Aria ultimately failed. What they all have in common is that they’re complex in and of themselves. For example, Aria’s founder, Helen Greiner left the company back in 2018. When a company loses its founder, momentum shifts. The core philosophy of the company is being “sucked out” and replaced by someone else. 

Naturally, that’s likely not the only reason. Another reason could have been Aria’s decision to move away from producing drones and drone technology to focusing on developing smart AI systems and drone programs. Aria re-launched in January 2019 and said that a number of their partners were focused on collecting and storing massive amounts of information using Aria’s drones. However, nobody could offer Aria’s partners the possibility to quickly turn the data into actionable insights.

Aria discovered a new possibility in the market that nobody else was offering at that time. And for sure, looking for new ways to serve their clients is always a healthy sign, but this time, Aria took things a little too far.

Since there was no other company offering that particular service, it might have been a sign that demand really wasn’t that big after all. And Aria might have gotten the wrong impression that since their actual partners craved the technology to store and interpret massive amounts of information, that was also the case with the rest of the drone market.

Ultimately that proved not to be the case and quite likely, commercial demand and regulations were just too slow to catch up with the supply of drone solutions.

It’s an example where a company offers a solution to a problem that really doesn’t exist yet on such a large scale that it’s possible to monetize from it. In other words, the company was way ahead of itself.

Read more on:
https://www.roboticsbusinessreview.com/unmanned/aria-insights-formerly-cyphy-works-shuts-down-reports-say/
https://www.therobotreport.com/aria-insights-cyphy-works-shuts-down/
https://dronelife.com/2019/03/22/cyphy-works-aria-insights-closes-its-doors-consolidation-in-drone-manufacturing-continues/"
Artillery,"Palo Alto, California, United States",Artillery has closed,www.artillery.com,
Artsicle,"New York, New York, United States",Artsicle operates an online art gallery that enables users to discover artwork by artists around the world.,www.artsicle.com,
ARYx Therapeutics,"Fremont, California, United States",ARYx is a pharmaceutical company focused on retrometabolic drug designing and improving the safety of oral therapies for chronic diseases.,www.aryx.com,
Ask Ziggy,"Rocklin, California, United States",Ask Ziggy is a natural speech search engine that uses voice recognition technology for mobile devices.,www.ask-ziggy.com,
Assembly,"San Francisco, California, United States","Assembly is a web collaboration platform that enables users to develop apps, widgets, platforms, and APIs with the help of other users.",assemblymade.com,
Asterisk,"Washington, District of Columbia, United States",Asterisk is a free and open-source framework for building communications applications.,www.asterisk.org/,
